Verb,Translation,Presente (Spanish),Presente (English),Pretérito (Spanish),Pretérito (English),Futuro (Spanish),Futuro (English)
Enseñar,to teach,"enseño,enseñas,enseña,enseñamos,enseñáis,enseñan","I teach,You (informal) teach,He/She teaches,We teach,You all (informal) teach,They/You all teach","enseñé,enseñaste,enseñó,enseñamos,enseñasteis,enseñaron","I taught,You (informal) taught,He/She taught,We taught,You all (informal) taught,They/You all taught","enseñaré,enseñarás,enseñará,enseñaremos,enseñaréis,enseñarán","I will teach,You (informal) will teach,He/She will teach,We will teach,You all (informal) will teach,They/You all will teach"
Entrar,to enter,"entro,entras,entra,entramos,entráis,entran","I enter,You (informal) enter,He/She enters,We enter,You all (informal) enter,They/You all enter","entré,entraste,entró,entramos,entrasteis,entraron","I entered,You (informal) entered,He/She entered,We entered,You all (informal) entered,They/You all entered","entraré,entrarás,entrará,entraremos,entraréis,entrarán","I will enter,You (informal) will enter,He/She will enter,We will enter,You all (informal) will enter,They/You all will enter"
Enviar,to send,"envío,envías,envía,enviamos,enviáis,envían","I send,You (informal) send,He/She sends,We send,You all (informal) send,They/You all send","envié,enviaste,envió,enviamos,enviasteis,enviaron","I sent,You (informal) sent,He/She sent,We sent,You all (informal) sent,They/You all sent","enviaré,enviarás,enviará,enviaremos,enviaréis,enviarán","I will send,You (informal) will send,He/She will send,We will send,You all (informal) will send,They/You all will send"
Escuchar,to listen,"escucho,escuchas,escucha,escuchamos,escucháis,escuchan","I listen,You (informal) listen,He/She listens,We listen,You all (informal) listen,They/You all listen","escuché,escuchaste,escuchó,escuchamos,escuchasteis,escucharon","I listened,You (informal) listened,He/She listened,We listened,You all (informal) listened,They/You all listened","escucharé,escucharás,escuchará,escucharemos,escucharéis,escucharán","I will listen,You (informal) will listen,He/She will listen,We will listen,You all (informal) will listen,They/You all will listen"
Esperar,to wait,"espero,esperas,espera,esperamos,esperáis,esperan","I wait,You (informal) wait,He/She waits,We wait,You all (informal) wait,They/You all wait","esperé,esperaste,esperó,esperamos,esperasteis,esperaron","I waited,You (informal) waited,He/She waited,We waited,You all (informal) waited,They/You all waited","esperaré,esperarás,esperará,esperaremos,esperaréis,esperarán","I will wait,You (informal) will wait,He/She will wait,We will wait,You all (informal) will wait,They/You all will wait"
Estudiar,to study,"estudio,estudias,estudia,estudiamos,estudiáis,estudian","I study,You (informal) study,He/She studies,We study,You all (informal) study,They/You all study","estudié,estudiaste,estudió,estudiamos,estudiasteis,estudiaron","I studied,You (informal) studied,He/She studied,We studied,You all (informal) studied,They/You all studied","estudiaré,estudiarás,estudiará,estudiaremos,estudiaréis,estudiarán","I will study,You (informal) will study,He/She will study,We will study,You all (informal) will study,They/You all will study"
Revisar,to check,"reviso,revisas,revisa,revisamos,revisáis,revisan","I check,You (informal) check,He/She checks,We check,You all (informal) check,They/You all check","revisé,revisaste,revisó,revisamos,revisasteis,revisaron","I checked,You (informal) checked,He/She checked,We checked,You all (informal) checked,They/You all checked","revisaré,revisarás,revisará,revisaremos,revisaréis,revisarán","I will check,You (informal) will check,He/She will check,We will check,You all (informal) will check,They/You all will check"
Explicar,to explain,"explico,explicas,explica,explicamos,explicáis,explican","I explain,You (informal) explain,He/She explains,We explain,You all (informal) explain,They/You all explain","expliqué,explicaste,explicó,explicamos,explicasteis,explicaron","I explained,You (informal) explained,He/She explained,We explained,You all (informal) explained,They/You all explained","explicaré,explicarás,explicará,explicaremos,explicaréis,explicarán","I will explain,You (informal) will explain,He/She will explain,We will explain,You all (informal) will explain,They/You all will explain"
Ganar,to win,"gano,ganas,gana,ganamos,ganáis,ganan","I win,You (informal) win,He/She wins,We win,You all (informal) win,They/You all win","gané,ganaste,ganó,ganamos,ganasteis,ganaron","I won,You (informal) won,He/She won,We won,You all (informal) won,They/You all won","ganaré,ganarás,ganará,ganaremos,ganaréis,ganarán","I will win,You (informal) will win,He/She will win,We will win,You all (informal) will win,They/You all will win"
Gastar,to spend something,"gasto,gastas,gasta,gastamos,gastáis,gastan","I spend,You (informal) spend,He/She spends,We spend,You all (informal) spend,They/You all spend","gasté,gastaste,gastó,gastamos,gastasteis,gastaron","I spent,You (informal) spent,He/She spent,We spent,You all (informal) spent,They/You all spent","gastaré,gastarás,gastará,gastaremos,gastaréis,gastarán","I will spend,You (informal) will spend,He/She will spend,We will spend,You all (informal) will spend,They/You all will spend"
Hablar,to speak,"hablo,hablas,habla,hablamos,habláis,hablan","I speak,You (informal) speak,He/She speaks,We speak,You all (informal) speak,They/You all speak","hablé,hablaste,habló,hablamos,hablasteis,hablaron","I spoke,You (informal) spoke,He/She spoke,We spoke,You all (informal) spoke,They/You all spoke","hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán","I will speak,You (informal) will speak,He/She will speak,We will speak,You all (informal) will speak,They/You all will speak"
Lavar,to wash,"lavo,lavas,lava,lavamos,laváis,lavan","I wash,You (informal) wash,He/She washes,We wash,You all (informal) wash,They/You all wash","lavé,lavaste,lavó,lavamos,lavasteis,lavaron","I washed,You (informal) washed,He/She washed,We washed,You all (informal) washed,They/You all washed","lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán","I will wash,You (informal) will wash,He/She will wash,We will wash,You all (informal) will wash,They/You all will wash"
Limpiar,to clean,"limpio,limpias,limpia,limpiamos,limpiáis,limpian","I clean,You (informal) clean,He/She cleans,We clean,You all (informal) clean,They/You all clean","limpié,limpiaste,limpió,limpiamos,limpiasteis,limpiaron","I cleaned,You (informal) cleaned,He/She cleaned,We cleaned,You all (informal) cleaned,They/You all cleaned","limpiaré,limpiarás,limpiará,limpiaremos,limpiaréis,limpiarán","I will clean,You (informal) will clean,He/She will clean,We will clean,You all (informal) will clean,They/You all will clean"
Llamar,to call,"llamo,llamas,llama,llamamos,llamáis,llaman","I call,You (informal) call,He/She calls,We call,You all (informal) call,They/You all call","llamé,llamaste,llamó,llamamos,llamasteis,llamaron","I called,You (informal) called,He/She called,We called,You all (informal) called,They/You all called","llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán","I will call,You (informal) will call,He/She will call,We will call,You all (informal) will call,They/You all will call"
Llegar,to arrive,"llego,llegas,llega,llegamos,llegáis,llegan","I arrive,You (informal) arrive,He/She arrives,We arrive,You all (informal) arrive,They/You all arrive","llegué,llegaste,llegó,llegamos,llegasteis,llegaron","I arrived,You (informal) arrived,He/She arrived,We arrived,You all (informal) arrived,They/You all arrived","llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán","I will arrive,You (informal) will arrive,He/She will arrive,We will arrive,You all (informal) will arrive,They/You all will arrive"
Llevar,to carry,"llevo,llevas,lleva,llevamos,lleváis,llevan","I carry,You (informal) carry,He/She carries,We carry,You all (informal) carry,They/You all carry","llevé,llevaste,llevó,llevamos,llevasteis,llevaron","I carried,You (informal) carried,He/She carried,We carried,You all (informal) carried,They/You all carried","llevaré,llevarás,llevará,llevaremos,llevaréis,llevarán","I will carry,You (informal) will carry,He/She will carry,We will carry,You all (informal) will carry,They/You all will carry"
Llorar,to cry,"lloro,lloras,llora,lloramos,lloráis,lloran","I cry,You (informal) cry,He/She cries,We cry,You all (informal) cry,They/You all cry","lloré,lloraste,lloró,lloramos,llorasteis,lloraron","I cried,You (informal) cried,He/She cried,We cried,You all (informal) cried,They/You all cried","lloraré,llorarás,llorará,lloraremos,lloraréis,llorarán","I will cry,You (informal) will cry,He/She will cry,We will cry,You all (informal) will cry,They/You all will cry"
Manejar,to drive,"manejo,manejas,maneja,manejamos,manejáis,manejan","I drive,You (informal) drive,He/She drives,We drive,You all (informal) drive,They/You all drive","manejé,manejaste,manejó,manejamos,manejasteis,manejaron","I drove,You (informal) drove,He/She drove,We drove,You all (informal) drove,They/You all drove","manejaré,manejarás,manejará,manejaremos,manejaréis,manejarán","I will drive,You (informal) will drive,He/She will drive,We will drive,You all (informal) will drive,They/You all will drive"
Mezclar,to mix,"mezclo,mezclas,mezcla,mezclamos,mezcláis,mezclan","I mix,You (informal) mix,He/She mixes,We mix,You all (informal) mix,They/You all mix","mezclé,mezclaste,mezcló,mezclamos,mezclasteis,mezclaron","I mixed,You (informal) mixed,He/She mixed,We mixed,You all (informal) mixed,They/You all mixed","mezclaré,mezclarás,mezclará,mezclaremos,mezclaréis,mezclarán","I will mix,You (informal) will mix,He/She will mix,We will mix,You all (informal) will mix,They/You all will mix"
Mirar,to look at,"miro,miras,mira,miramos,miráis,miran","I look at,You (informal) look at,He/She looks at,We look at,You all (informal) look at,They/You all look at","miré,miraste,miró,miramos,mirasteis,miraron","I looked at,You (informal) looked at,He/She looked at,We looked at,You all (informal) looked at,They/You all looked at","miraré,mirarás,mirará,miraremos,miraréis,mirarán","I will look at,You (informal) will look at,He/She will look at,We will look at,You all (informal) will look at,They/You all will look at"
Montar,to ride,"monto,montas,monta,montamos,montáis,montan","I ride,You (informal) ride,He/She rides,We ride,You all (informal) ride,They/You all ride","monté,montaste,montó,montamos,montasteis,montaron","I rode,You (informal) rode,He/She rode,We rode,You all (informal) rode,They/You all rode","montaré,montarás,montará,montaremos,montaréis,montarán","I will ride,You (informal) will ride,He/She will ride,We will ride,You all (informal) will ride,They/You all will ride"
Nadar,to swim,"nado,nadas,nada,nadamos,nadáis,nadan","I swim,You (informal) swim,He/She swims,We swim,You all (informal) swim,They/You all swim","nadé,nadaste,nadó,nadamos,nadasteis,nadaron","I swam,You (informal) swam,He/She swam,We swam,You all (informal) swam,They/You all swam","nadaré,nadarás,nadará,nadaremos,nadaréis,nadarán","I will swim,You (informal) will swim,He/She will swim,We will swim,You all (informal) will swim,They/You all will swim"
Necesitar,to need,"necesito,necesitas,necesita,necesitamos,necesitáis,necesitan","I need,You (informal) need,He/She needs,We need,You all (informal) need,They/You all need","necesité,necesitaste,necesitó,necesitamos,necesitasteis,necesitaron","I needed,You (informal) needed,He/She needed,We needed,You all (informal) needed,They/You all needed","necesitaré,necesitarás,necesitará,necesitaremos,necesitaréis,necesitarán","I will need,You (informal) will need,He/She will need,We will need,You all (informal) will need,They/You all will need"
Odiar,to hate,"odio,odias,odia,odiamos,odiáis,odian","I hate,You (informal) hate,He/She hates,We hate,You all (informal) hate,They/You all hate","odié,odiaste,odió,odiamos,odiasteis,odiaron","I hated,You (informal) hated,He/She hated,We hated,You all (informal) hated,They/You all hated","odiaré,odiarás,odiará,odiaremos,odiaréis,odiarán","I will hate,You (informal) will hate,He/She will hate,We will hate,You all (informal) will hate,They/You all will hate"
Olvidar,to forget,"olvido,olvidas,olvida,olvidamos,olvidáis,olvidan","I forget,You (informal) forget,He/She forgets,We forget,You all (informal) forget,They/You all forget","olvidé,olvidaste,olvidó,olvidamos,olvidasteis,olvidaron","I forgot,You (informal) forgot,He/She forgot,We forgot,You all (informal) forgot,They/You all forgot","olvidaré,olvidarás,olvidará,olvidaremos,olvidaréis,olvidarán","I will forget,You (informal) will forget,He/She will forget,We will forget,You all (informal) will forget,They/You all will forget"
Pagar,to pay,"pago,pagas,paga,pagamos,pagáis,pagan","I pay,You (informal) pay,He/She pays,We pay,You all (informal) pay,They/You all pay","pagué,pagaste,pagó,pagamos,pagasteis,pagaron","I paid,You (informal) paid,He/She paid,We paid,You all (informal) paid,They/You all paid","pagaré,pagarás,pagará,pagaremos,pagaréis,pagarán","I will pay,You (informal) will pay,He/She will pay,We will pay,You all (informal) will pay,They/You all will pay"
Pasar tiempo,to spend time,"paso,pasas,pasa,pasamos,pasáis,pasan","I spend time,You (informal) spend time,He/She spends time,We spend time,You all (informal) spend time,They/You all spend time","pasé,pasaste,pasó,pasamos,pasasteis,pasaron","I spent time,You (informal) spent time,He/She spent time,We spent time,You all (informal) spent time,They/You all spent time","pasaré,pasarás,pasará,pasaremos,pasaréis,pasarán","I will spend time,You (informal) will spend time,He/She will spend time,We will spend time,You all (informal) will spend time,They/You all will spend time"
Pintar,to paint,"pinto,pintas,pinta,pintamos,pintáis,pintan","I paint,You (informal) paint,He/She paints,We paint,You all (informal) paint,They/You all paint","pinté,pintaste,pintó,pintamos,pintasteis,pintaron","I painted,You (informal) painted,He/She painted,We painted,You all (informal) painted,They/You all painted","pintaré,pintarás,pintará,pintaremos,pintaréis,pintarán","I will paint,You (informal) will paint,He/She will paint,We will paint,You all (informal) will paint,They/You all will paint"
Practicar,to practice,"practico,practicas,practica,practicamos,practicáis,practican","I practice,You (informal) practice,He/She practices,We practice,You all (informal) practice,They/You all practice","practiqué,practicaste,practicó,practicamos,practicasteis,practicaron","I practiced,You (informal) practiced,He/She practiced,We practiced,You all (informal) practiced,They/You all practiced","practicaré,practicarás,practicará,practicaremos,practicaréis,practicarán","I will practice,You (informal) will practice,He/She will practice,We will practice,You all (informal) will practice,They/You all will practice"
Preguntar,to ask a question,"pregunto,preguntas,pregunta,preguntamos,preguntáis,preguntan","I ask a question,You (informal) ask a question,He/She asks a question,We ask a question,You all (informal) ask a question,They/You all ask a question","pregunté,preguntaste,preguntó,preguntamos,preguntasteis,preguntaron","I asked a question,You (informal) asked a question,He/She asked a question,We asked a question,You all (informal) asked a question,They/You all asked a question","preguntaré,preguntarás,preguntará,preguntaremos,preguntaréis,preguntarán","I will ask a question,You (informal) will ask a question,He/She will ask a question,We will ask a question,You all (informal) will ask a question,They/You all will ask a question"
Regresar,to come back,"regreso,regresas,regresa,regresamos,regresáis,regresan","I come back,You (informal) come back,He/She comes back,We come back,You all (informal) come back,They/You all come back","regresé,regresaste,regresó,regresamos,regresasteis,regresaron","I came back,You (informal) came back,He/She came back,We came back,You all (informal) came back,They/You all came back","regresaré,regresarás,regresará,regresaremos,regresaréis,regresarán","I will come back,You (informal) will come back,He/She will come back,We will come back,You all (informal) will come back,They/You all will come back"
Terminar,to finish,"termino,terminas,termina,terminamos,termináis,terminan","I finish,You (informal) finish,He/She finishes,We finish,You all (informal) finish,They/You all finish","terminé,terminaste,terminó,terminamos,terminasteis,terminaron","I finished,You (informal) finished,He/She finished,We finished,You all (informal) finished,They/You all finished","terminaré,terminarás,terminará,terminaremos,terminaréis,terminarán","I will finish,You (informal) will finish,He/She will finish,We will finish,You all (informal) will finish,They/You all will finish"
Tocar,to touch/to play an instrument,"toco,tocas,toca,tocamos,tocáis,tocan","I touch,You (informal) touch,He/She touches,We touch,You all (informal) touch,They/You all touch","toqué,tocaste,tocó,tocamos,tocasteis,tocaron","I touched,You (informal) touched,He/She touched,We touched,You all (informal) touched,They/You all touched","tocaré,tocarás,tocará,tocaremos,tocaréis,tocarán","I will touch,You (informal) will touch,He/She will touch,We will touch,You all (informal) will touch,They/You all will touch"
Tomar,to take/to drink,"tomo,tomas,toma,tomamos,tomáis,toman","I take,You (informal) take,He/She takes,We take,You all (informal) take,They/You all take","tomé,tomaste,tomó,tomamos,tomasteis,tomaron","I took,You (informal) took,He/She took,We took,You all (informal) took,They/You all took","tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán","I will take,You (informal) will take,He/She will take,We will take,You all (informal) will take,They/You all will take"
Trabajar,to work,"trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan","I work,You (informal) work,He/She works,We work,You all (informal) work,They/You all work","trabajé,trabajaste,trabajó,trabajamos,trabajasteis,trabajaron","I worked,You (informal) worked,He/She worked,We worked,You all (informal) worked,They/You all worked","trabajaré,trabajarás,trabajará,trabajaremos,trabajaréis,trabajarán","I will work,You (informal) will work,He/She will work,We will work,You all (informal) will work,They/You all will work"
Usar,to use,"uso,usas,usa,usamos,usáis,usan","I use,You (informal) use,He/She uses,We use,You all (informal) use,They/You all use","usé,usaste,usó,usamos,usasteis,usaron","I used,You (informal) used,He/She used,We used,You all (informal) used,They/You all used","usaré,usarás,usará,usaremos,usaréis,usarán","I will use,You (informal) will use,He/She will use,We will use,You all (informal) will use,They/You all will use"
Viajar,to travel,"viajo,viajas,viaja,viajamos,viajáis,viajan","I travel,You (informal) travel,He/She travels,We travel,You all (informal) travel,They/You all travel","viajé,viajaste,viajó,viajamos,viajasteis,viajaron","I traveled,You (informal) traveled,He/She traveled,We traveled,You all (informal) traveled,They/You all traveled","viajaré,viajarás,viajará,viajaremos,viajaréis,viajarán","I will travel,You (informal) will travel,He/She will travel,We will travel,You all (informal) will travel,They/You all will travel"
Visitar,to visit,"visito,visitas,visita,visitamos,visitáis,visitan","I visit,You (informal) visit,He/She visits,We visit,You all (informal) visit,They/You all visit","visité,visitaste,visitó,visitamos,visitasteis,visitaron","I visited,You (informal) visited,He/She visited,We visited,You all (informal) visited,They/You all visited","visitaré,visitarás,visitará,visitaremos,visitaréis,visitarán","I will visit,You (informal) will visit,He/She will visit,We will visit,You all (informal) will visit,They/You all will visit"
Aprender,to learn,"aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden","I learn,You (informal) learn,He/She learns,We learn,You all (informal) learn,They/You all learn","aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron","I learned,You (informal) learned,He/She learned,We learned,You all (informal) learned,They/You all learned","aprenderé,aprenderás,aprenderá,aprenderemos,aprenderéis,aprenderán","I will learn,You (informal) will learn,He/She will learn,We will learn,You all (informal) will learn,They/You all will learn"
Beber,to drink,"bebo,bebes,bebe,bebemos,bebéis,beben","I drink,You (informal) drink,He/She drinks,We drink,You all (informal) drink,They/You all drink","bebí,bebiste,bebió,bebimos,bebisteis,bebieron","I drank,You (informal) drank,He/She drank,We drank,You all (informal) drank,They/You all drank","beberé,beberás,beberá,beberemos,beberéis,beberán","I will drink,You (informal) will drink,He/She will drink,We will drink,You all (informal) will drink,They/You all will drink"
Comer,to eat,"como,comes,come,comemos,coméis,comen","I eat,You (informal) eat,He/She eats,We eat,You all (informal) eat,They/You all eat","comí,comiste,comió,comimos,comisteis,comieron","I ate,You (informal) ate,He/She ate,We ate,You all (informal) ate,They/You all ate","comeré,comerás,comerá,comeremos,comeréis,comerán","I will eat,You (informal) will eat,He/She will eat,We will eat,You all (informal) will eat,They/You all will eat"
Comprender,to understand,"comprendo,comprendes,comprende,comprendemos,comprendéis,comprenden","I understand,You (informal) understand,He/She understands,We understand,You all (informal) understand,They/You all understand","comprendí,comprendiste,comprendió,comprendimos,comprendisteis,comprendieron","I understood,You (informal) understood,He/She understood,We understood,You all (informal) understood,They/You all understood","comprenderé,comprenderás,comprenderá,comprenderemos,comprenderéis,comprenderán","I will understand,You (informal) will understand,He/She will understand,We will understand,You all (informal) will understand,They/You all will understand"
Correr,to run,"corro,corres,corre,corremos,corréis,corren","I run,You (informal) run,He/She runs,We run,You all (informal) run,They/You all run","corrí,corriste,corrió,corrimos,corristeis,corrieron","I ran,You (informal) ran,He/She ran,We ran,You all (informal) ran,They/You all ran","correré,correrás,correrá,corremos,correréis,correrán","I will run,You (informal) will run,He/She will run,We will run,You all (informal) will run,They/You all will run"
